Implied_Volatility,IV_Percentage,Option_Price,Intrinsic_Value,Time_Value,Delta,Gamma,Theta,Vega,Rho
0.1,10.0,13.74132787539537,11.560000000000002,2.181327875395368,0.8666689678646724,0.01801624427883485,-0.09853339974482453,0.25722141620110234,0.2616062028033558
0.15000000000000002,15.000000000000002,15.320353687851139,11.560000000000002,3.7603536878511363,0.7738019008541087,0.01678367520168932,-0.149497824987198,0.3594356824004815,0.2314840014836306
0.2,20.0,17.24288809806842,11.560000000000002,5.6828880980684175,0.717360962485689,0.014150098069119573,-0.1998720926991484,0.40404739282973456,0.21251741981808067
0.25,25.0,19.32496414998053,11.560000000000002,7.764964149980528,0.6814626113176314,0.011948521887396394,-0.24921499447789863,0.4264784149541868,0.19986548333780635
0.30000000000000004,30.000000000000004,21.49172061715666,11.560000000000002,9.931720617156657,0.657318465984008,0.0102523261248279,-0.2978236314779994,0.43912334963427924,0.19083123165239865
0.35,35.0,23.70816233823598,11.560000000000002,12.148162338235977,0.64036224418766,0.008942681995311213,-0.345929122063143,0.44686742261833073,0.18401070127950825
0.4,40.0,25.955936529127086,11.560000000000002,14.395936529127084,0.628077776804715,0.007913023293832887,-0.3936757944897832,0.45190307737182644,0.17862962551289968
0.45000000000000007,45.00000000000001,28.224525783735032,11.560000000000002,16.66452578373503,0.6189856386317327,0.007087025884446821,-0.4411523815118041,0.45532279807993853,0.17423257355477317
0.5,50.0,30.507469639023583,11.560000000000002,18.94746963902358,0.6121654150093743,0.006411872656194663,-0.48841425788023507,0.4577177517139486,0.17053614536825776
0.55,55.00000000000001,32.800571819829514,11.560000000000002,21.240571819829512,0.6070167478205536,0.0058507750395070226,-0.5354965227915409,0.45942957923656763,0.16735547572953588
0.6,60.0,35.10097803670422,11.560000000000002,23.540978036704217,0.6031322757996671,0.00537765038351397,-0.58242158316098,0.460666549389612,0.16456513274136428
0.65,65.0,37.40666945073167,11.560000000000002,25.846669450731667,0.6002262643856853,0.00497362706407686,-0.6292036449499805,0.46156135276073557,0.1620771464501348
0.7000000000000001,70.0,39.71616900276871,11.560000000000002,28.156169002768706,0.5980925626350727,0.00462477544837532,-0.6758514545652389,0.4622017166410696,0.15982806259856172
0.75,75.0,42.02836328078999,11.560000000000002,30.468363280789987,0.5965787978447603,0.004320620184658672,-0.7223700245782951,0.46264749698855356,0.15777099497480393
0.8,80.0,44.34239024739887,11.560000000000002,32.782390247398865,0.595569963431135,0.0040531480951829044,-0.7687617521915339,0.46294065599033796,0.1558705700388494
