Date,Days_to_Expiration,Time_to_Expiration_Years,Option_Price,Intrinsic_Value,Time_Value,Delta,Gamma,Theta,Vega,Rho
2025-11-02 10:23:10.519428,25,0.0684931506849315,23.395416730350206,1.5600000000000023,21.835416730350204,0.5454755621902931,0.007197733666757683,-0.4643218862758251,0.4735846751163305,0.15455267530359593
2025-11-03 18:40:54.176300,24,0.06575342465753424,22.926595334264363,1.5600000000000023,21.36659533426436,0.5450199144319585,0.007347116080147831,-0.4734132488310292,0.46407695439071617,0.1485420472101637
2025-11-05 02:58:37.833172,22,0.06027397260273973,21.960202086049804,1.5600000000000023,20.400202086049802,0.5441106298857156,0.007675782946450991,-0.49341302364385053,0.44443394828256316,0.13649580372823547
2025-11-06 11:16:21.490044,21,0.057534246575342465,21.46132793053951,1.5600000000000023,19.90132793053951,0.5436586165910242,0.007857401533487716,-0.504463240059966,0.4342702723959117,0.13045973839083363
2025-11-07 19:34:05.146916,20,0.0547945205479452,20.95100407949343,1.5600000000000023,19.391004079493428,0.5432097609723197,0.008052434842972307,-0.5163285739241358,0.4238567210806295,0.12441470925481031
2025-11-09 03:51:48.803789,18,0.049315068493150684,19.89242593225555,1.5600000000000023,18.332425932255546,0.5423273612130092,0.008490040070960067,-0.5429477313760276,0.4022018873601705,0.11229660202347416
2025-11-10 12:09:32.460661,17,0.04657534246575343,19.342069512833262,1.5600000000000023,17.78206951283326,0.5418976935107984,0.008737179869384534,-0.5579790487693433,0.39091474947318433,0.10622286587451417
2025-11-11 20:27:16.117533,16,0.043835616438356165,18.776007481025374,1.5600000000000023,17.216007481025372,0.5414791746842339,0.009007073454965526,-0.574392820313277,0.3792848941322077,0.10013883814260098
2025-11-13 04:44:59.774405,14,0.038356164383561646,17.590547282806142,1.5600000000000023,16.03054728280614,0.5406906720885857,0.009630940658791965,-0.6123286561029279,0.3548612693816743,0.08793809872666904
2025-11-14 13:02:43.431277,13,0.03561643835616438,16.967343019747517,1.5600000000000023,15.407343019747515,0.5403312194770994,0.009995420265572048,-0.6344889119856778,0.3419843801823147,0.08182031838578961
2025-11-15 21:20:27.088150,12,0.03287671232876712,16.320669342670243,1.5600000000000023,14.76066934267024,0.540004935412932,0.01040442584298391,-0.6593541801512498,0.3285952069304232,0.07569007692146563
2025-11-17 05:38:10.745022,10,0.0273972602739726,14.944252639365232,1.5600000000000023,13.38425263936523,0.5394994355192456,0.01139892617665736,-0.719806320525133,0.3000031398760591,0.0633889341483018
2025-11-18 13:55:54.401894,9,0.024657534246575342,14.20618730691271,1.5600000000000023,12.646187306912708,0.5393567200293807,0.01201595080548305,-0.757308384237447,0.28461809673447974,0.05721596304403595
2025-11-19 22:13:38.058766,8,0.021917808219178082,13.427376968595098,1.5600000000000023,11.867376968595096,0.5393260760391974,0.012744937616145088,-0.8016116615207413,0.2683425609122938,0.05102626549213388
2025-11-21 06:31:21.715638,6,0.01643835616438356,11.713015737446113,1.5600000000000023,10.153015737446111,0.5398237453999025,0.014714753257550202,-0.9213093669246344,0.23236252843569352,0.03858886248695891
2025-11-22 14:49:05.372511,5,0.0136986301369863,10.751062568617414,1.5600000000000023,9.191062568617411,0.5405635878704479,0.01611617258170172,-1.006457874520765,0.21207709841984268,0.032335431384864964
2025-11-23 23:06:49.029383,4,0.010958904109589041,9.690207445697382,1.5600000000000023,8.13020744569738,0.5419270990499032,0.018012017220834304,-1.1216378186251392,0.18962002693964342,0.02605282508455084
2025-11-25 07:24:32.686255,2,0.005479452054794521,7.073735300430286,1.5600000000000023,5.513735300430284,0.549586810997967,0.025416306776109236,-1.571420416313627,0.13378403752627666,0.013361403787879535
2025-11-26 15:42:16.343127,1,0.0027397260273972603,5.24106342590207,1.5600000000000023,3.6810634259020674,0.5631906787835497,0.035768895605812326,-2.2002388752009288,0.09413852520263781,0.006901075969301792
2025-11-28 00:00:00.000000,0,0.0,1.5600000000000023,1.5600000000000023,0.0,1.0,0.0,0.0,0.0,0.0
